Date,Treatment,Rep,Timepoint,Plated,Count,Dilution,Titer
20210328,cI26,1,0,Bacteria,NA,NA,3.53E+03
20210328,cI26,2,0,Bacteria,NA,NA,3.53E+03
20210328,cI26,3,0,Bacteria,NA,NA,3.53E+03
20210328,EvoC,1,0,Bacteria,NA,NA,3.53E+03
20210328,EvoC,2,0,Bacteria,NA,NA,3.53E+03
20210328,EvoC,3,0,Bacteria,NA,NA,3.53E+03
20210328,LamB Spec,1,0,Bacteria,NA,NA,3.53E+03
20210328,LamB Spec,2,0,Bacteria,NA,NA,3.53E+03
20210328,LamB Spec,3,0,Bacteria,NA,NA,3.53E+03
20210328,OmpF Spec,1,0,Bacteria,NA,NA,3.53E+03
20210328,OmpF Spec,2,0,Bacteria,NA,NA,3.53E+03
20210328,OmpF Spec,3,0,Bacteria,NA,NA,3.53E+03
20210328,L+O,1,0,Bacteria,NA,NA,3.53E+03
20210328,L+O,2,0,Bacteria,NA,NA,3.53E+03
20210328,L+O,3,0,Bacteria,NA,NA,3.53E+03
20210328,L+O,4,0,Bacteria,NA,NA,3.53E+03
20210328,L+O,5,0,Bacteria,NA,NA,3.53E+03
20210328,L+O,6,0,Bacteria,NA,NA,3.53E+03
20210328,2811,1,0,Bacteria,NA,NA,3.53E+03
20210328,2811,2,0,Bacteria,NA,NA,3.53E+03
20210328,2811,3,0,Bacteria,NA,NA,3.53E+03
20210328,2811,4,0,Bacteria,Na,NA,3.53E+03
20210328,2811,5,0,Bacteria,NA,NA,3.53E+03
20210328,2811,6,0,Bacteria,NA,NA,3.53E+03
20210328,cI26,1,0,Phage_606,19,2,9.50E+05
20210328,cI26,2,0,Phage_606,25,2,1.25E+06
20210328,cI26,3,0,Phage_606,23,2,1.15E+06
20210328,EvoC,1,0,Phage_606,29,2,1.45E+06
20210328,EvoC,2,0,Phage_606,31,2,1.55E+06
20210328,EvoC,3,0,Phage_606,33,2,1.65E+06
20210328,LamB Spec,1,0,Phage_606,36,2,1.80E+06
20210328,LamB Spec,2,0,Phage_606,39,2,1.95E+06
20210328,LamB Spec,3,0,Phage_606,37,2,1.85E+06
20210328,OmpF Spec,1,0,Phage_606,3,2,1.50E+05
20210328,OmpF Spec,2,0,Phage_606,3,2,1.50E+05
20210328,OmpF Spec,3,0,Phage_606,5,2,2.50E+05
20210328,L+O,1,0,Phage_606,26,2,1.30E+06
20210328,L+O,2,0,Phage_606,28,2,1.40E+06
20210328,L+O,3,0,Phage_606,21,2,1.05E+06
20210328,L+O,4,0,Phage_606,23,2,1.15E+06
20210328,L+O,5,0,Phage_606,18,2,9.00E+05
20210328,L+O,6,0,Phage_606,17,2,8.50E+05
20210328,2811,1,0,Phage_606,14,2,7.00E+05
20210328,2811,2,0,Phage_606,15,2,7.50E+05
20210328,2811,3,0,Phage_606,14,2,7.00E+05
20210328,2811,4,0,Phage_606,9,2,4.50E+05
20210328,2811,5,0,Phage_606,16,2,8.00E+05
20210328,2811,6,0,Phage_606,13,2,6.50E+05
20210328,cI26,1,0,Phage_Lminus,0,1,0.00E+00
20210328,cI26,2,0,Phage_Lminus,0,1,0.00E+00
20210328,cI26,3,0,Phage_Lminus,0,1,0.00E+00
20210328,EvoC,1,0,Phage_Lminus,21,2,1.05E+06
20210328,EvoC,2,0,Phage_Lminus,23,2,1.15E+06
20210328,EvoC,3,0,Phage_Lminus,24,2,1.20E+06
20210328,LamB Spec,1,0,Phage_Lminus,0,1,0.00E+00
20210328,LamB Spec,2,0,Phage_Lminus,0,1,0.00E+00
20210328,LamB Spec,3,0,Phage_Lminus,0,1,0.00E+00
20210328,OmpF Spec,1,0,Phage_Lminus,4,2,2.00E+05
20210328,OmpF Spec,2,0,Phage_Lminus,3,2,1.50E+05
20210328,OmpF Spec,3,0,Phage_Lminus,2,2,1.00E+05
20210328,L+O,1,0,Phage_Lminus,2,2,1.00E+05
20210328,L+O,2,0,Phage_Lminus,2,2,1.00E+05
20210328,L+O,3,0,Phage_Lminus,2,2,1.00E+05
20210328,L+O,4,0,Phage_Lminus,1,2,5.00E+04
20210328,L+O,5,0,Phage_Lminus,10,1,5.00E+04
20210328,L+O,6,0,Phage_Lminus,2,2,1.00E+05
20210328,2811,1,0,Phage_Lminus,4,2,2.00E+05
20210328,2811,2,0,Phage_Lminus,4,2,2.00E+05
20210328,2811,3,0,Phage_Lminus,5,2,2.50E+05
20210328,2811,4,0,Phage_Lminus,5,2,2.50E+05
20210328,2811,5,0,Phage_Lminus,2,2,1.00E+05
20210328,2811,6,0,Phage_Lminus,3,2,1.50E+05
20210328,cI26,1,0,Phage_Ominus,37,2,1.85E+06
20210328,cI26,2,0,Phage_Ominus,29,2,1.45E+06
20210328,cI26,3,0,Phage_Ominus,22,2,1.10E+06
20210328,EvoC,1,0,Phage_Ominus,6,2,3.00E+05
20210328,EvoC,2,0,Phage_Ominus,11,2,5.50E+05
20210328,EvoC,3,0,Phage_Ominus,9,2,4.50E+05
20210328,LamB Spec,1,0,Phage_Ominus,9,3,4.50E+06
20210328,LamB Spec,2,0,Phage_Ominus,11,3,5.50E+06
20210328,LamB Spec,3,0,Phage_Ominus,5,3,2.50E+06
20210328,OmpF Spec,1,0,Phage_Ominus,0,1,0.00E+00
20210328,OmpF Spec,2,0,Phage_Ominus,0,1,0.00E+00
20210328,OmpF Spec,3,0,Phage_Ominus,0,1,0.00E+00
20210328,L+O,1,0,Phage_Ominus,30,2,1.50E+06
20210328,L+O,2,0,Phage_Ominus,33,2,1.65E+06
20210328,L+O,3,0,Phage_Ominus,28,2,1.40E+06
20210328,L+O,4,0,Phage_Ominus,50,2,2.50E+06
20210328,L+O,5,0,Phage_Ominus,35,2,1.75E+06
20210328,L+O,6,0,Phage_Ominus,39,2,1.95E+06
20210328,2811,1,0,Phage_Ominus,21,2,1.05E+06
20210328,2811,2,0,Phage_Ominus,18,2,9.00E+05
20210328,2811,3,0,Phage_Ominus,25,2,1.25E+06
20210328,2811,4,0,Phage_Ominus,19,2,9.50E+05
20210328,2811,5,0,Phage_Ominus,21,2,1.05E+06
20210328,2811,6,0,Phage_Ominus,22,2,1.10E+06
20210329,cI26,1,1,Bacteria,11144,1,1.11E+06
20210329,cI26,2,1,Bacteria,28,6,2.80E+08
20210329,cI26,3,1,Bacteria,1,6,1.00E+07
20210329,EvoC,1,1,Bacteria,66,1,6.60E+03
20210329,EvoC,2,1,Bacteria,2352,1,2.35E+05
20210329,EvoC,3,1,Bacteria,4312,1,4.31E+05
20210329,LamB Spec,1,1,Bacteria,3,6,3.00E+07
20210329,LamB Spec,2,1,Bacteria,0,5,NA
20210329,LamB Spec,3,1,Bacteria,0,4,NA
20210329,OmpF Spec,1,1,Bacteria,0,4,NA
20210329,OmpF Spec,2,1,Bacteria,76,1,7.60E+03
