Date,Treatment,Rep,Timepoint,Plated,Count,Dilution,Titer,Status,Notes
20210518,EvoC,1,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,EvoC,2,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,EvoC,3,0,Bacteria,NA,NA,1.85E+03,REMOVE,
20210518,EvoC,4,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,EvoC,5,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,EvoC,6,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,EvoC,7,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,EvoC,8,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,EvoC,9,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,EvoC,10,0,Bacteria,NA,NA,1.85E+03,REMOVE,
20210518,EvoC,11,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,EvoC,12,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,L+O,1,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,L+O,2,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,L+O,3,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,L+O,4,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,L+O,5,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,L+O,6,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,L+O,7,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,L+O,8,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,L+O,9,0,Bacteria,NA,NA,1.85E+03,REMOVE,
20210518,L+O,10,0,Bacteria,Na,NA,1.85E+03,Good,
20210518,L+O,11,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,L+O,12,0,Bacteria,NA,NA,1.85E+03,Good,
20210518,EvoC,1,0,Phage_606,23,1,1.15E+05,Good,
20210518,EvoC,2,0,Phage_606,16,1,8.00E+04,Good,
20210518,EvoC,3,0,Phage_606,18,1,9.00E+04,REMOVE,
20210518,EvoC,4,0,Phage_606,29,1,1.45E+05,Good,
20210518,EvoC,5,0,Phage_606,25,1,1.25E+05,Good,
20210518,EvoC,6,0,Phage_606,36,1,1.80E+05,Good,
20210518,EvoC,7,0,Phage_606,25,1,1.25E+05,Good,
20210518,EvoC,8,0,Phage_606,18,1,9.00E+04,Good,
20210518,EvoC,9,0,Phage_606,20,1,1.00E+05,Good,
20210518,EvoC,10,0,Phage_606,19,1,9.50E+04,REMOVE,
20210518,EvoC,11,0,Phage_606,20,1,1.00E+05,Good,
20210518,EvoC,12,0,Phage_606,28,1,1.40E+05,Good,
20210518,L+O,1,0,Phage_606,10,2,5.00E+05,Good,
20210518,L+O,2,0,Phage_606,12,2,6.00E+05,Good,
20210518,L+O,3,0,Phage_606,11,2,5.50E+05,Good,
20210518,L+O,4,0,Phage_606,7,2,3.50E+05,Good,
20210518,L+O,5,0,Phage_606,15,2,7.50E+05,Good,
20210518,L+O,6,0,Phage_606,14,2,7.00E+05,Good,
20210518,L+O,7,0,Phage_606,8,2,4.00E+05,Good,
20210518,L+O,8,0,Phage_606,11,2,5.50E+05,Good,
20210518,L+O,9,0,Phage_606,9,2,4.50E+05,REMOVE,
20210518,L+O,10,0,Phage_606,7,2,3.50E+05,Good,
20210518,L+O,11,0,Phage_606,16,2,8.00E+05,Good,
20210518,L+O,12,0,Phage_606,12,2,6.00E+05,Good,
20210518,EvoC,1,0,Phage_Lminus,15,1,7.50E+04,Good,
20210518,EvoC,2,0,Phage_Lminus,14,1,7.00E+04,Good,
20210518,EvoC,3,0,Phage_Lminus,14,1,7.00E+04,REMOVE,
20210518,EvoC,4,0,Phage_Lminus,13,1,6.50E+04,Good,
20210518,EvoC,5,0,Phage_Lminus,11,1,5.50E+04,Good,
20210518,EvoC,6,0,Phage_Lminus,15,1,7.50E+04,Good,
20210518,EvoC,7,0,Phage_Lminus,7,1,3.50E+04,Good,
20210518,EvoC,8,0,Phage_Lminus,11,1,5.50E+04,Good,
20210518,EvoC,9,0,Phage_Lminus,13,1,6.50E+04,Good,
20210518,EvoC,10,0,Phage_Lminus,18,1,9.00E+04,REMOVE,
20210518,EvoC,11,0,Phage_Lminus,16,1,8.00E+04,Good,
