Date,Timepoint,Treatment,Rep,Plated,Count,Dilution,Titer,Status,Notes
20211116,0,2811,1,Bacteria,NA,NA,2.00E+05,Good,
20211116,0,2811,2,Bacteria,NA,NA,2.00E+05,Good,
20211116,0,2811,3,Bacteria,NA,NA,2.00E+05,Good,
20211116,0,2811,4,Bacteria,NA,NA,2.00E+05,Good,
20211116,0,2811,5,Bacteria,NA,NA,2.00E+05,Good,
20211116,0,2811,6,Bacteria,NA,NA,2.00E+05,Good,
20211116,0,Cocktail,1,Bacteria,NA,NA,2.00E+05,Good,
20211116,0,Cocktail,2,Bacteria,NA,NA,2.00E+05,Good,
20211116,0,Cocktail,3,Bacteria,NA,NA,2.00E+05,Good,
20211116,0,Cocktail,4,Bacteria,NA,NA,2.00E+05,Good,
20211116,0,Cocktail,5,Bacteria,NA,NA,2.00E+05,Good,
20211116,0,Cocktail,6,Bacteria,NA,NA,2.00E+05,Good,
20211116,0,2811,1,Phage_606,28,1,1.40E+05,Good,
20211116,0,2811,2,Phage_606,29,1,1.45E+05,Good,
20211116,0,2811,3,Phage_606,28,1,1.40E+05,Good,
20211116,0,2811,4,Phage_606,27,1,1.35E+05,Good,
20211116,0,2811,5,Phage_606,30,1,1.50E+05,Good,
20211116,0,2811,6,Phage_606,17,1,8.50E+04,Good,
20211116,0,Cocktail,1,Phage_606,16,2,8.00E+05,Good,
20211116,0,Cocktail,2,Phage_606,19,2,9.50E+05,Good,
20211116,0,Cocktail,3,Phage_606,21,2,1.05E+06,Good,
20211116,0,Cocktail,4,Phage_606,16,2,8.00E+05,Good,
20211116,0,Cocktail,5,Phage_606,17,2,8.50E+05,Good,
20211116,0,Cocktail,6,Phage_606,16,2,8.00E+05,Good,
20211116,0,2811,1,Phage_Lminus,7,1,3.50E+04,Good,
20211116,0,2811,2,Phage_Lminus,8,1,4.00E+04,Good,
20211116,0,2811,3,Phage_Lminus,15,1,7.50E+04,Good,
20211116,0,2811,4,Phage_Lminus,8,1,4.00E+04,Good,
20211116,0,2811,5,Phage_Lminus,13,1,6.50E+04,Good,
20211116,0,2811,6,Phage_Lminus,11,1,5.50E+04,Good,
20211116,0,Cocktail,1,Phage_Lminus,31,1,1.55E+05,Good,
20211116,0,Cocktail,2,Phage_Lminus,28,1,1.40E+05,Good,
20211116,0,Cocktail,3,Phage_Lminus,25,1,1.25E+05,Good,
20211116,0,Cocktail,4,Phage_Lminus,27,1,1.35E+05,Good,
20211116,0,Cocktail,5,Phage_Lminus,22,1,1.10E+05,Good,
20211116,0,Cocktail,6,Phage_Lminus,24,1,1.20E+05,Good,
20211116,0,2811,1,Phage_Ominus,9,2,4.50E+05,Good,
20211116,0,2811,2,Phage_Ominus,8,2,4.00E+05,Good,
20211116,0,2811,3,Phage_Ominus,5,2,2.50E+05,Good,
20211116,0,2811,4,Phage_Ominus,7,2,3.50E+05,Good,
20211116,0,2811,5,Phage_Ominus,7,2,3.50E+05,Good,
20211116,0,2811,6,Phage_Ominus,6,2,3.00E+05,Good,
20211116,0,Cocktail,1,Phage_Ominus,7,3,3.50E+06,Good,
20211116,0,Cocktail,2,Phage_Ominus,7,3,3.50E+06,Good,
20211116,0,Cocktail,3,Phage_Ominus,6,3,3.00E+06,Good,
20211116,0,Cocktail,4,Phage_Ominus,8,3,4.00E+06,Good,
20211116,0,Cocktail,5,Phage_Ominus,13,3,6.50E+06,Good,
20211116,0,Cocktail,6,Phage_Ominus,10,3,5.00E+06,Good,
20211117,1,2811,1,Bacteria,33,2,3.30E+04,Good,
20211117,1,2811,2,Bacteria,30,2,3.00E+04,Good,
20211117,1,2811,3,Bacteria,28,2,2.80E+04,Good,
20211117,1,2811,4,Bacteria,68,2,6.80E+04,Good,
20211117,1,2811,5,Bacteria,7,0,7.00E+01,Good,
20211117,1,2811,6,Bacteria,16,2,1.60E+04,Good,
20211117,1,Cocktail,1,Bacteria,821,2,8.21E+05,Good,
20211117,1,Cocktail,2,Bacteria,2856,2,2.86E+06,Good,
20211117,1,Cocktail,3,Bacteria,1736,3,1.74E+07,Good,
20211117,1,Cocktail,4,Bacteria,2576,3,2.58E+07,Good,
20211117,1,Cocktail,5,Bacteria,3416,3,3.42E+07,Good,
20211117,1,Cocktail,6,Bacteria,648,3,6.48E+06,Good,
20211117,1,2811,1,Phage_606,9,4,4.50E+07,Good,
20211117,1,2811,2,Phage_606,9,4,4.50E+07,Good,
