Date,Treatment,Population,Timepoint,Isolate,Tag,Phage,PFU,Dilution,Titer,Notes
20220120,REL606,0,0,0,REL606_0_0_0,2811,30,4,1.50E+08,
20220120,L-,0,0,0,L-_0_0_0,2811,30,3,1.50E+07,
20220120,O-,0,0,0,O-_0_0_0,2811,29,4,1.45E+08,
20220120,Cocktail,1,5,1,Cocktail_1_5_1,2811,0,0,0.00E+00,
20220120,Cocktail,1,5,2,Cocktail_1_5_2,2811,9,4,4.50E+07,
20220120,Cocktail,1,5,3,Cocktail_1_5_3,2811,0,0,0.00E+00,
20220120,Cocktail,1,5,4,Cocktail_1_5_4,2811,0,0,0.00E+00,
20220120,Cocktail,1,5,5,Cocktail_1_5_5,2811,0,0,0.00E+00,
20220120,Cocktail,1,5,6,Cocktail_1_5_6,2811,0,0,0.00E+00,
20220120,Cocktail,1,5,7,Cocktail_1_5_7,2811,0,0,0.00E+00,
20220120,Cocktail,1,5,8,Cocktail_1_5_8,2811,0,0,0.00E+00,
20220120,Cocktail,1,5,9,Cocktail_1_5_9,2811,0,0,0.00E+00,
20220120,Cocktail,1,5,10,Cocktail_1_5_10,2811,0,0,0.00E+00,
20220120,Cocktail,1,5,11,Cocktail_1_5_11,2811,0,0,0.00E+00,
20220120,Cocktail,1,5,12,Cocktail_1_5_12,2811,0,0,0.00E+00,
20220120,Cocktail,2,5,1,Cocktail_2_5_1,2811,0,0,0.00E+00,
20220120,Cocktail,2,5,2,Cocktail_2_5_2,2811,0,0,0.00E+00,
20220120,Cocktail,2,5,3,Cocktail_2_5_3,2811,0,0,0.00E+00,
20220120,Cocktail,2,5,4,Cocktail_2_5_4,2811,0,0,0.00E+00,
20220120,Cocktail,2,5,5,Cocktail_2_5_5,2811,0,0,0.00E+00,
20220120,Cocktail,2,5,6,Cocktail_2_5_6,2811,0,0,0.00E+00,
20220120,Cocktail,2,5,7,Cocktail_2_5_7,2811,0,0,0.00E+00,
20220120,Cocktail,2,5,8,Cocktail_2_5_8,2811,0,0,0.00E+00,
20220120,Cocktail,2,5,9,Cocktail_2_5_9,2811,0,0,0.00E+00,
20220120,Cocktail,2,5,10,Cocktail_2_5_10,2811,0,0,0.00E+00,
20220120,Cocktail,2,5,11,Cocktail_2_5_11,2811,0,0,0.00E+00,
20220120,Cocktail,2,5,12,Cocktail_2_5_12,2811,0,0,0.00E+00,
20220120,Cocktail,4,5,1,Cocktail_4_5_1,2811,10,4,5.00E+07,
20220120,Cocktail,4,5,2,Cocktail_4_5_2,2811,9,4,4.50E+07,
20220120,Cocktail,4,5,3,Cocktail_4_5_3,2811,9,4,4.50E+07,
20220120,Cocktail,4,5,4,Cocktail_4_5_4,2811,4,4,2.00E+07,
20220120,Cocktail,4,5,5,Cocktail_4_5_5,2811,7,4,3.50E+07,
20220120,Cocktail,4,5,6,Cocktail_4_5_6,2811,14,4,7.00E+07,
20220120,Cocktail,4,5,7,Cocktail_4_5_7,2811,12,4,6.00E+07,
