Date,Phage,Host,PFU,Dilution,Titer,EOP
20220212,2811,WT,6,6,3.00E+09,1.0000000
20220212,2811,ΔManY,16,5,8.00E+08,0.2666667
20220212,2811,ΔManZ,14,5,7.00E+08,0.2333333
20220212,LamB Spec,WT,7,5,3.50E+08,1.0000000
20220212,LamB Spec,ΔManY,2,4,1.00E+07,0.0285714
20220212,LamB Spec,ΔManZ,4,4,2.00E+07,0.0571429
20220212,OmpF Spec,WT,18,6,9.00E+09,1.0000000
20220212,OmpF Spec,ΔManY,3,4,1.50E+07,0.0016667
20220212,OmpF Spec,ΔManZ,8,4,4.00E+07,0.0044444
20220212,EvoC,WT,6,5,3.00E+08,1.0000000
20220212,EvoC,ΔManY,2,1,1.00E+04,0.0000333
20220212,EvoC,ΔManZ,3,2,1.50E+05,0.0005000
