Date,Pop,Timepoint,IsoHost,Phage,Host,PFU,Dil,Titer,Notes
20221101,1,16,L-,P1T16_L-,WT,10,3,5.00E+06,
20221101,1,16,F-,P1T16_F-,WT,11,6,5.50E+09,
20221101,2,16,F-,P2T16_F-,WT,39,6,1.95E+10,
20221101,3,9,L-,P3T9_L-,WT,11,4,5.50E+07,
20221101,3,9,F-,P3T9_F-,WT,31,5,1.55E+09,
20221101,4,6,L-,P4T6_L-,WT,5,4,2.50E+07,
20221101,4,6,F-,P4T6_F-,WT,13,7,6.50E+10,
20221101,5,16,L-,P5T16_L-,WT,5,3,2.50E+06,
20221101,5,16,F-,P5T16_F-,WT,20,5,1.00E+09,
20221101,0,0,0,Lspec,WT,10,7,5.00E+10,
20221101,0,0,0,Ospec,WT,4,6,2.00E+09,
20221101,1,16,L-,P1T16_L-,ΔLamB,12,4,6.00E+07,
20221101,1,16,F-,P1T16_F-,ΔLamB,0,0,0.00E+00,
20221101,2,16,F-,P2T16_F-,ΔLamB,3,0,1.50E+03,
20221101,3,9,L-,P3T9_L-,ΔLamB,17,4,8.50E+07,
20221101,3,9,F-,P3T9_F-,ΔLamB,4,6,2.00E+09,
20221101,4,6,L-,P4T6_L-,ΔLamB,8,4,4.00E+07,
20221101,4,6,F-,P4T6_F-,ΔLamB,10,0,5.00E+03,
20221101,5,16,L-,P5T16_L-,ΔLamB,48,2,2.40E+06,
20221101,5,16,F-,P5T16_F-,ΔLamB,23,3,1.15E+07,
20221101,0,0,0,Lspec,ΔLamB,13,0,6.50E+03,
20221101,0,0,0,Ospec,ΔLamB,25,5,1.25E+09,
20221101,1,16,L-,P1T16_L-,ΔOmpF,0,0,0.00E+00,
20221101,1,16,F-,P1T16_F-,ΔOmpF,3,7,1.50E+10,
20221101,2,16,F-,P2T16_F-,ΔOmpF,8,7,4.00E+10,
20221101,3,9,L-,P3T9_L-,ΔOmpF,3,0,1.50E+03,
20221101,3,9,F-,P3T9_F-,ΔOmpF,3,6,1.50E+09,
20221101,4,6,L-,P4T6_L-,ΔOmpF,0,0,0.00E+00,
20221101,4,6,F-,P4T6_F-,ΔOmpF,21,7,1.05E+11,
20221101,5,16,L-,P5T16_L-,ΔOmpF,0,0,0.00E+00,
20221101,5,16,F-,P5T16_F-,ΔOmpF,11,5,5.50E+08,
20221101,0,0,0,Lspec,ΔOmpF,14,7,7.00E+10,
20221101,0,0,0,Ospec,ΔOmpF,0,0,0.00E+00,
20221101,1,16,L-,P1T16_L-,ΔManY,3,4,1.50E+07,
20221101,1,16,F-,P1T16_F-,ΔManY,6,5,3.00E+08,
20221101,2,16,F-,P2T16_F-,ΔManY,3,7,1.50E+10,
20221101,3,9,L-,P3T9_L-,ΔManY,9,4,4.50E+07,
20221101,3,9,F-,P3T9_F-,ΔManY,5,5,2.50E+08,
20221101,4,6,L-,P4T6_L-,ΔManY,6,4,3.00E+07,
20221101,4,6,F-,P4T6_F-,ΔManY,12,7,6.00E+10,
20221101,5,16,L-,P5T16_L-,ΔManY,3,3,1.50E+06,
20221101,5,16,F-,P5T16_F-,ΔManY,10,5,5.00E+08,
20221101,0,0,0,Lspec,ΔManY,5,5,2.50E+08,
20221101,0,0,0,Ospec,ΔManY,3,3,1.50E+06,
20221101,1,16,L-,P1T16_L-,ΔManZ,3,4,1.50E+07,
20221101,1,16,F-,P1T16_F-,ΔManZ,36,4,1.80E+08,
20221101,2,16,F-,P2T16_F-,ΔManZ,29,6,1.45E+10,
20221101,3,9,L-,P3T9_L-,ΔManZ,8,4,4.00E+07,
20221101,3,9,F-,P3T9_F-,ΔManZ,5,5,2.50E+08,
20221101,4,6,L-,P4T6_L-,ΔManZ,11,3,5.50E+06,
20221101,4,6,F-,P4T6_F-,ΔManZ,26,6,1.30E+10,
20221101,5,16,L-,P5T16_L-,ΔManZ,12,2,6.00E+05,
20221101,5,16,F-,P5T16_F-,ΔManZ,3,5,1.50E+08,
20221101,0,0,0,Lspec,ΔManZ,6,4,3.00E+07,
20221101,0,0,0,Ospec,ΔManZ,8,2,4.00E+05,
